,Unnamed: 0,course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled
462,667,Internet Connection: How to Get Online?,Cisco,COURSE,4.7,Beginner,36000.0
463,834,Internet Giants: The Law and Economics of Media Platforms,The University of Chicago,COURSE,4.8,Mixed,38000.0
464,582,Interviewing and Resume Writing in English,"University of Maryland, College Park",SPECIALIZATION,4.6,Intermediate,66000.0
465,495,Introducción a Data Science: Programación Estadística con R,Universidad Nacional Autónoma de México,COURSE,4.7,Beginner,140000.0
466,327,Introducción a la programación en Python I: Aprendiendo a programar con Python,Pontificia Universidad Católica de Chile,COURSE,4.4,Beginner,100000.0
467,844,Introduction aux Droits de l’Homme,University of Geneva,COURSE,4.8,Mixed,46000.0
468,830,Introduction to Ableton Live,Berklee College of Music,COURSE,4.8,Mixed,60000.0
469,427,Introduction to Artificial Intelligence (AI),IBM,COURSE,4.7,Beginner,44000.0
470,862,Introduction to Big Data,University of California San Diego,COURSE,4.6,Mixed,160000.0
471,608,Introduction to Blockchain Technologies,INSEAD,COURSE,4.7,Beginner,16000.0
472,620,Introduction to Breast Cancer,Yale University,COURSE,4.9,Mixed,27000.0
473,713,Introduction to Business Analytics: Communicating with Data,University of Illinois at Urbana-Champaign,COURSE,4.7,Intermediate,14000.0
474,664,Introduction to CSS3,University of Michigan,COURSE,4.8,Mixed,84000.0
475,412,Introduction to Calculus,The University of Sydney,COURSE,4.8,Intermediate,53000.0
476,879,Introduction to Chemistry:  Reactions and Ratios,Duke University,COURSE,4.8,Beginner,46000.0
477,421,Introduction to Classical Music,Yale University,COURSE,4.9,Mixed,150000.0
478,594,Introduction to Cloud Computing,IBM,COURSE,4.6,Beginner,2600.0
479,780,Introduction to Computer Programming,"Goldsmiths, University of London",COURSE,4.3,Beginner,20000.0
480,254,Introduction to Computer Science and Programming,"Goldsmiths, University of London",SPECIALIZATION,4.3,Beginner,32000.0
481,336,Introduction to Corporate Finance,University of Pennsylvania,COURSE,4.6,Mixed,130000.0
482,723,Introduction to Cyber Attacks,New York University,COURSE,4.7,Beginner,27000.0
483,183,Introduction to Cyber Security,New York University,SPECIALIZATION,4.7,Beginner,32000.0
484,469,Introduction to Cybersecurity Tools & Cyber Attacks,IBM,COURSE,4.5,Beginner,30000.0
485,548,Introduction to Data Analysis Using Excel,Rice University,COURSE,4.7,Mixed,99000.0
486,1,Introduction to Data Science,IBM,SPECIALIZATION,4.6,Beginner,310000.0
487,187,Introduction to Data Science in Python,University of Michigan,COURSE,4.5,Intermediate,390000.0
488,253,Introduction to Dental Medicine,University of Pennsylvania,COURSE,4.8,Beginner,25000.0
489,196,Introduction to Discrete Mathematics for Computer Science,National Research University Higher School of Economics,SPECIALIZATION,4.4,Beginner,75000.0
490,745,Introduction to Electronics,Georgia Institute of Technology,COURSE,4.7,Mixed,110000.0
491,649,Introduction to Embedded Systems Software and Development Environments,University of Colorado Boulder,COURSE,4.5,Intermediate,41000.0
492,628,Introduction to Engineering Mechanics,Georgia Institute of Technology,COURSE,4.7,Mixed,150000.0
493,511,Introduction to Environmental Law and Policy,The University of North Carolina at Chapel Hill,COURSE,4.8,Mixed,34000.0
494,204,Introduction to Financial Accounting,University of Pennsylvania,COURSE,4.7,Mixed,200000.0
495,377,Introduction to Forensic Science,"Nanyang Technological University, Singapore",COURSE,4.9,Mixed,47000.0
496,850,Introduction to Game Development,Michigan State University,COURSE,4.8,Mixed,79000.0
497,499,Introduction to Genetics and Evolution,Duke University,COURSE,4.8,Mixed,74000.0
498,878,Introduction to Genomic Technologies,Johns Hopkins University,COURSE,4.6,Mixed,42000.0
499,307,Introduction to HTML5,University of Michigan,COURSE,4.7,Mixed,220000.0
500,774,Introduction to Imagemaking,California Institute of the Arts,COURSE,4.5,Beginner,54000.0
501,689,Introduction to Intellectual Property,University of Pennsylvania,COURSE,4.8,Beginner,6000.0
502,417,Introduction to International Criminal Law,Case Western Reserve University,COURSE,4.8,Mixed,82000.0
503,136,Introduction to Marketing,University of Pennsylvania,COURSE,4.8,Mixed,220000.0
504,340,Introduction to Mathematical Thinking,Stanford University,COURSE,4.8,Intermediate,270000.0
505,533,Introduction to Operations Management,University of Pennsylvania,COURSE,4.5,Mixed,87000.0
506,542,Introduction to Personal Branding,University of Virginia,COURSE,4.4,Beginner,140000.0
507,235,Introduction to Philosophy,The University of Edinburgh,COURSE,4.6,Mixed,370000.0
508,617,Introduction to Portfolio Construction and Analysis with Python,EDHEC Business School,COURSE,4.8,Mixed,11000.0
509,473,Introduction to Probability and Data,Duke University,COURSE,4.7,Beginner,160000.0
510,190,Introduction to Programming in C,Duke University,SPECIALIZATION,4.7,Beginner,82000.0
511,308,Introduction to Programming with MATLAB,Vanderbilt University,COURSE,4.8,Beginner,270000.0
512,29,Introduction to Psychology,Yale University,COURSE,4.9,Beginner,270000.0
513,293,Introduction to Scripting in Python,Rice University,SPECIALIZATION,4.7,Beginner,49000.0
514,729,Introduction to Self-Driving Cars,University of Toronto,COURSE,4.8,Advanced,39000.0
515,339,Introduction to Spreadsheets and Models,University of Pennsylvania,COURSE,4.2,Mixed,76000.0
516,766,Introduction to Statistics & Data Analysis in Public Health,Imperial College London,COURSE,4.7,Beginner,12000.0
517,312,Introduction to Sustainability,University of Illinois at Urbana-Champaign,COURSE,4.8,Mixed,69000.0
518,250,Introduction to Systematic Review and Meta-Analysis,Johns Hopkins University,COURSE,4.8,Mixed,67000.0
519,758,Introduction to Systems Engineering,UNSW Sydney (The University of New South Wales),COURSE,4.7,Mixed,33000.0
520,230,"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",deeplearning.ai,COURSE,4.7,Intermediate,150000.0
521,735,Introduction to Thermodynamics: Transferring Energy from Here to There,University of Michigan,COURSE,4.8,Beginner,4100.0
522,659,"Introduction to Trading, Machine Learning & GCP",New York Institute of Finance,COURSE,4.0,Intermediate,13000.0
523,557,Introduction to Typography,California Institute of the Arts,COURSE,4.8,Beginner,72000.0
524,428,Introduction to User Experience Design,Georgia Institute of Technology,COURSE,4.5,Beginner,87000.0
525,744,Introduction to User Experience Principles and Processes,University of Michigan,COURSE,4.8,Beginner,16000.0
526,625,Introduction to Web Development,"University of California, Davis",COURSE,4.7,Beginner,76000.0
527,194,Introduction to the Biology of Cancer,Johns Hopkins University,COURSE,4.8,Beginner,110000.0
528,270,Introductory Human Physiology,Duke University,COURSE,4.7,Mixed,270000.0
529,741,Introdução aos Princípios e Práticas da Gestão De Projetos,Universidade de São Paulo,SPECIALIZATION,4.9,Beginner,4500.0
530,866,Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,COURSE,4.9,Beginner,120000.0
